algorithm,hazard_event_id,step,progress_percentage,hazards_injected,replanning_success,response_time,new_path_length,old_path,new_path,replanning_trigger
Dijkstra,1,8,16.3265306122449,1,True,0.05723261833190918,39,"[25554694, 676821316, 676821315, 676821311, 5059182780, 5059182779, 368190, 338664953, 368195, 5059182773, 368243, 12164999594, 12164999590, 12164999588, 368250, 6230294622, 9966672196, 25668541, 25934279, 25934280, 368254, 25626383, 270187712, 5937839269, 25626269, 368341, 260928397, 1757030783, 6200688912, 21660107, 260928395, 260928393, 368338, 6736481995, 368322, 368325, 368323, 368308, 368310, 368313, 1962530964]","[676821316, 676821315, 676821311, 5059182780, 5059182779, 368190, 338664953, 368195, 5059182773, 25669388, 241886261, 1524568727, 5059182771, 241886816, 5059182770, 25625869, 25625871, 25625838, 25625641, 370351925, 5057169764, 25625636, 25625557, 661227, 25624011, 25624010, 25624008, 25624005, 270960794, 661225, 270938224, 495986890, 305208580, 368325, 368323, 368308, 368310, 368313, 1962530964]",hazard_detection
Dijkstra,4,29,61.702127659574465,2,True,0.03990316390991211,19,"[25625636, 25625557, 661227, 25624011, 25624010, 25624008, 25624005, 270960794, 661225, 270938224, 495986890, 305208580, 368325, 368323, 368308, 368310, 368313, 1962530964]","[25625557, 661227, 25624011, 25624010, 25624008, 25624005, 270960794, 661225, 270938224, 495986890, 305208580, 368325, 368322, 368321, 368320, 368319, 368318, 21292970, 1962530964]",hazard_detection
DStar_Lite,1,8,16.3265306122449,1,True,0.700549840927124,39,"[25554694, 676821316, 676821315, 676821311, 5059182780, 5059182779, 368190, 338664953, 368195, 5059182773, 368243, 12164999594, 12164999590, 12164999588, 368250, 6230294622, 9966672196, 25668541, 25934279, 25934280, 368254, 25626383, 270187712, 5937839269, 25626269, 368341, 260928397, 1757030783, 6200688912, 21660107, 260928395, 260928393, 368338, 6736481995, 368322, 368325, 368323, 368308, 368310, 368313, 1962530964]","[676821316, 676821315, 676821311, 5059182780, 5059182779, 368190, 338664953, 368195, 5059182773, 25669388, 241886261, 1524568727, 5059182771, 241886816, 5059182770, 25625869, 25625871, 25625838, 25625641, 370351925, 5057169764, 25625636, 25625557, 661227, 25624011, 25624010, 25624008, 25624005, 270960794, 661225, 270938224, 495986890, 305208580, 368325, 368323, 368308, 368310, 368313, 1962530964]",hazard_detection
DStar_Lite,4,29,61.702127659574465,2,True,0.06795048713684082,19,"[25625636, 25625557, 661227, 25624011, 25624010, 25624008, 25624005, 270960794, 661225, 270938224, 495986890, 305208580, 368325, 368323, 368308, 368310, 368313, 1962530964]","[25625557, 661227, 25624011, 25624010, 25624008, 25624005, 270960794, 661225, 270938224, 495986890, 305208580, 368325, 368322, 368321, 368320, 368319, 368318, 21292970, 1962530964]",hazard_detection
SSSP,1,8,16.3265306122449,1,True,0.08026456832885742,39,"[25554694, 676821316, 676821315, 676821311, 5059182780, 5059182779, 368190, 338664953, 368195, 5059182773, 368243, 12164999594, 12164999590, 12164999588, 368250, 6230294622, 9966672196, 25668541, 25934279, 25934280, 368254, 25626383, 270187712, 5937839269, 25626269, 368341, 260928397, 1757030783, 6200688912, 21660107, 260928395, 260928393, 368338, 6736481995, 368322, 368325, 368323, 368308, 368310, 368313, 1962530964]","[676821316, 676821315, 676821311, 5059182780, 5059182779, 368190, 338664953, 368195, 5059182773, 25669388, 241886261, 1524568727, 5059182771, 241886816, 5059182770, 25625869, 25625871, 25625838, 25625641, 370351925, 5057169764, 25625636, 25625557, 661227, 25624011, 25624010, 25624008, 25624005, 270960794, 661225, 270938224, 495986890, 305208580, 368325, 368323, 368308, 368310, 368313, 1962530964]",hazard_detection
SSSP,4,29,61.702127659574465,2,True,0.06323885917663574,19,"[25625636, 25625557, 661227, 25624011, 25624010, 25624008, 25624005, 270960794, 661225, 270938224, 495986890, 305208580, 368325, 368323, 368308, 368310, 368313, 1962530964]","[25625557, 661227, 25624011, 25624010, 25624008, 25624005, 270960794, 661225, 270938224, 495986890, 305208580, 368325, 368322, 368321, 368320, 368319, 368318, 21292970, 1962530964]",hazard_detection
